radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.45,8.41,1.58,9.99,0.0,8.4
0.9,17.8,2.22,15.52,0.0,13.51
1.35,26.0,2.35,20.76,0.0,16.7
1.8,30.9,2.22,21.37,0.0,18.72
2.25,34.7,1.82,19.92,0.0,19.9
2.69,38.8,1.81,18.76,0.0,20.61
3.14,42.5,1.57,17.36,0.0,20.73
3.59,45.6,1.59,16.32,0.0,20.61
4.04,48.8,1.83,15.37,0.0,20.38
4.49,51.8,1.91,14.49,0.0,19.9
4.94,54.8,2.19,13.72,0.0,19.43
5.39,56.6,2.73,13.04,0.0,18.84
5.84,58.4,3.27,12.45,0.0,18.25
6.29,58.5,3.95,11.93,0.0,17.65
6.74,57.7,4.07,11.48,0.0,17.06
7.19,57.3,3.94,11.08,0.0,16.47
