radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.6,16.0,3.53,12.59,0.0,6.82
0.73,16.6,4.83,14.22,0.0,8.12
0.85,18.6,2.5,15.27,0.0,9.3
0.98,20.0,7.58,17.04,0.0,10.41
1.07,21.4,4.03,18.03,0.0,11.27
1.54,28.9,2.74,22.44,0.0,15.22
2.02,32.9,2.65,24.92,0.0,18.74
2.49,35.2,2.88,25.85,0.0,21.52
2.96,37.6,3.05,26.01,0.0,23.28
3.43,40.6,3.68,25.36,0.0,24.59
3.9,42.7,3.25,25.01,0.0,25.62
4.37,45.5,2.99,24.48,0.0,26.35
4.86,48.9,1.96,23.7,0.0,27.08
5.34,51.5,1.53,22.69,0.0,27.81
5.81,53.0,1.86,21.59,0.0,28.4
6.28,55.0,1.48,20.86,0.0,28.98
6.75,57.6,0.99,20.11,0.0,29.57
7.22,59.7,1.19,19.38,0.0,30.3
7.69,60.5,1.26,18.7,0.0,31.18
8.16,61.8,1.33,18.06,0.0,32.06
8.64,62.9,1.35,17.47,0.0,32.64
9.11,63.0,2.09,16.94,0.0,33.23
9.58,64.5,2.38,16.44,0.0,33.38
10.05,65.6,1.08,15.98,0.0,33.38
10.52,67.5,3.22,15.57,0.0,32.79
10.99,66.8,2.37,15.18,0.0,32.06
11.46,66.8,0.95,14.81,0.0,31.18
11.94,66.6,0.96,14.47,0.0,30.3
12.41,66.8,0.99,14.16,0.0,29.42
12.9,66.3,0.74,13.86,0.0,28.69
13.37,66.1,1.31,13.59,0.0,27.81
