radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.45,18.9,9.78,65.19,0.0,0.0
1.34,58.3,10.5,120.17,0.0,0.0
2.23,74.1,5.69,137.48,0.0,0.0
3.12,119.0,4.27,146.18,0.0,0.0
4.01,141.0,3.76,157.86,0.0,0.0
4.9,195.0,4.54,175.79,0.0,0.0
5.79,227.0,4.2,199.19,0.0,0.0
6.69,246.0,4.24,217.87,0.0,0.0
7.58,268.0,5.56,228.65,0.0,0.0
8.47,283.0,2.96,241.76,0.0,0.0
10.23,291.0,9.81,260.94,0.0,0.0
12.06,310.0,4.74,275.04,0.0,0.04
13.44,310.0,20.4,277.98,0.0,0.4
15.18,310.0,16.1,282.25,0.0,3.11
16.83,314.0,13.5,283.33,0.0,15.18
18.56,317.0,12.7,276.47,0.0,22.91
20.3,319.0,10.4,272.19,0.0,33.06
21.94,318.0,10.8,273.0,0.0,33.62
23.68,317.0,9.3,271.34,0.0,39.67
25.41,317.0,7.23,261.62,0.0,44.98
27.06,312.0,8.39,252.97,0.0,46.29
28.8,312.0,8.37,243.84,0.0,43.21
30.53,311.0,11.5,233.85,0.0,45.08
32.18,310.0,14.5,224.75,0.0,52.43
33.91,313.0,15.9,216.21,0.0,59.7
35.65,320.0,8.83,208.83,0.0,61.56
37.3,321.0,7.88,202.65,0.0,63.33
39.03,320.0,8.0,196.77,0.0,62.96
40.76,315.0,9.82,191.39,0.0,62.4
42.41,312.0,9.07,186.89,0.0,62.21
