radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.64,12.4,8.6,13.56,0.0,1.18
1.18,21.9,6.2,21.17,0.0,1.55
1.8,32.3,1.88,27.72,0.0,1.6
2.03,37.9,6.2,29.76,0.0,1.54
2.78,53.1,9.5,36.4,0.0,1.46
3.0,62.4,11.0,38.08,0.0,1.62
3.64,68.0,6.2,42.4,0.0,2.96
4.19,78.0,7.98,45.43,0.0,5.28
4.6,82.3,6.2,46.43,0.0,6.86
5.14,85.7,6.3,47.19,0.0,8.92
5.39,85.5,6.51,47.91,0.0,9.95
6.31,89.5,15.6,50.48,0.0,14.48
9.1,95.2,15.5,51.31,0.0,26.69
10.17,97.5,6.2,52.01,0.0,29.9
11.99,101.0,10.2,51.6,0.0,33.72
14.02,107.0,10.7,50.13,0.0,36.41
15.94,117.0,11.7,49.27,0.0,38.69
17.98,120.0,12.0,48.97,0.0,39.0
