radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.39,17.4,30.4,12.25,0.0,-1.11
1.18,46.3,37.1,28.99,0.0,-2.76
1.95,69.1,13.1,34.78,0.0,-2.63
2.74,85.2,6.2,37.08,0.0,-0.03
3.53,93.2,6.2,41.2,0.0,3.84
4.3,100.0,12.4,44.37,0.0,7.34
5.09,108.0,6.2,45.35,0.0,9.92
5.87,112.0,6.2,44.94,0.0,12.15
6.4,113.0,24.9,45.12,0.0,13.65
7.44,113.0,15.5,45.76,0.0,17.06
8.21,112.0,13.1,46.01,0.0,19.87
9.0,111.0,26.4,44.52,0.0,22.99
9.72,111.0,19.4,43.69,0.0,26.1
11.79,113.0,12.5,40.77,0.0,34.23
17.63,118.0,14.6,33.12,0.0,36.03
