radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.77,35.1,3.96,20.98,133.76,2.22
1.59,77.9,3.95,40.96,176.62,3.89
2.36,115.0,6.7,58.24,176.92,4.02
3.13,156.0,3.16,74.68,172.53,0.9
3.95,192.0,3.14,91.45,173.49,0.0
4.73,204.0,2.9,107.35,174.08,0.0
5.5,209.0,3.36,120.52,167.74,0.0
6.27,220.0,3.25,132.68,159.21,0.0
7.08,231.0,3.49,150.86,150.44,0.0
7.86,235.0,4.65,170.8,142.84,0.24
8.66,245.0,6.0,187.59,136.33,0.0
9.45,246.0,5.57,199.82,130.53,3.8
10.24,239.0,6.95,208.12,125.41,0.0
11.02,240.0,7.16,212.98,120.9,3.35
11.79,240.0,4.85,214.9,116.92,15.63
12.47,246.0,7.68,214.77,113.67,22.51
13.34,241.0,6.21,213.03,109.94,30.77
14.11,250.0,5.62,210.67,106.85,37.16
14.59,242.0,5.1,209.26,105.08,39.71
14.98,244.0,7.41,208.03,103.7,41.88
15.75,248.0,5.08,205.55,101.13,44.73
16.52,249.0,5.22,203.07,98.75,46.3
17.1,246.0,6.35,201.06,97.06,46.79
17.88,241.0,16.2,198.19,94.92,46.99
18.65,247.0,14.6,195.23,92.94,47.18
19.62,234.0,20.9,191.47,90.61,47.77
20.78,249.0,10.0,186.83,88.05,51.51
22.13,236.0,16.1,181.4,85.32,57.31
23.0,245.0,22.1,177.88,83.69,59.87
23.58,243.0,4.2,175.64,82.65,61.24
25.03,238.0,7.76,170.07,80.22,61.05
25.9,247.0,6.14,166.98,78.87,60.16
