radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.49,211.0,40.1,73.17,233.76,64.37
0.98,233.0,17.4,130.38,272.92,75.6
1.47,227.0,14.4,176.13,246.78,68.11
1.97,234.0,10.8,213.49,213.16,61.94
2.46,245.0,7.67,244.17,190.74,60.52
2.95,244.0,23.3,261.9,174.18,69.43
3.44,261.0,23.3,273.58,161.3,75.4
3.93,259.0,22.7,276.37,150.91,73.37
4.42,258.0,22.7,276.54,142.3,68.82
4.92,258.0,22.5,278.71,134.88,65.78
5.74,261.0,22.4,282.13,124.87,61.84
6.56,263.0,22.4,284.24,116.81,59.41
7.37,264.0,22.3,281.24,110.2,58.09
8.19,265.0,22.2,279.02,104.54,58.09
9.01,265.0,22.2,277.3,99.67,58.19
9.83,264.0,22.0,272.35,95.42,57.28
10.65,264.0,21.9,264.11,91.67,55.06
11.47,265.0,22.0,254.75,88.34,51.82
