radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.58,31.3,6.3,21.35,0.0,0.0
1.16,54.8,5.8,29.36,0.0,2.75
1.74,61.1,4.1,30.8,0.0,6.18
2.33,63.9,4.1,31.81,0.0,7.45
2.91,67.2,4.1,31.67,0.0,14.25
3.49,70.4,3.6,31.97,0.0,16.89
4.07,73.7,3.6,32.15,0.0,15.31
4.65,78.0,4.1,31.31,0.0,18.83
5.23,80.8,4.1,29.91,0.0,23.23
5.81,80.5,3.6,28.44,0.0,26.13
6.4,81.3,3.6,27.55,0.0,28.95
6.98,82.1,4.6,26.52,0.0,31.41
7.62,82.8,4.6,25.42,0.0,34.05
8.28,84.9,5.5,24.36,0.0,34.49
8.9,84.3,5.5,23.44,0.0,32.03
9.52,83.2,7.0,22.66,0.0,32.29
10.22,80.1,10.8,21.62,0.0,33.08
