radius_kpc,v_obs_kms,v_err_kms,v_disk_kms,v_bulge_kms,v_gas_kms
0.12,6.48,2.6,2.2,0.0,-0.66
0.19,8.6,2.65,2.24,0.0,0.47
0.26,10.2,3.03,2.72,0.0,1.82
0.33,11.7,3.55,2.9,0.0,3.08
0.4,12.7,3.75,2.92,0.0,4.2
0.47,14.1,3.43,3.03,0.0,5.32
0.55,16.0,3.33,3.44,0.0,6.65
0.62,18.1,2.66,3.69,0.0,7.97
0.69,21.2,3.78,3.81,0.0,9.25
0.76,21.6,3.33,3.95,0.0,10.36
0.83,23.3,3.09,4.15,0.0,11.58
0.9,24.5,3.26,4.32,0.0,12.39
0.97,24.4,3.29,4.46,0.0,13.1
1.04,25.3,2.78,4.57,0.0,13.71
1.11,25.4,2.78,4.69,0.0,14.22
1.19,25.9,2.73,4.81,0.0,14.63
1.26,26.7,2.67,4.88,0.0,14.83
1.33,27.1,3.16,4.95,0.0,15.03
1.4,28.6,3.34,5.03,0.0,15.13
1.48,28.9,3.21,5.09,0.0,15.24
1.55,30.4,4.14,5.13,0.0,15.34
1.62,30.8,4.35,5.17,0.0,15.54
1.69,30.5,4.56,5.21,0.0,15.54
1.75,33.0,4.04,5.22,0.0,15.54
1.83,32.1,4.35,5.25,0.0,15.64
1.9,32.9,4.36,5.28,0.0,15.64
1.97,34.2,4.9,5.3,0.0,15.64
2.04,32.6,3.98,5.31,0.0,15.64
2.11,33.7,4.73,5.33,0.0,15.74
2.19,33.8,4.67,5.35,0.0,15.64
2.26,34.9,3.74,5.36,0.0,15.64
2.33,36.1,5.47,5.39,0.0,15.64
2.4,37.2,5.39,5.42,0.0,15.24
2.48,37.6,7.1,5.5,0.0,14.73
2.55,35.6,4.73,5.46,0.0,14.22
2.62,38.3,7.78,5.25,0.0,13.81
