file,alpha_eff,alpha_eff_err,lambda_kpc,lambda_kpc_err,chi2,dof,error
CamB_rotmod.dat,3.731275376176828e-17,2.000000000085888e-09,10.000000064976913,7.071067519334107,86.2602347635461,7.0,
D512-2_rotmod.dat,,,,,,,too few valid rows
D564-8_rotmod.dat,1.9836254924979535,0.15002744518317818,14.608827990553188,5.133126003669982,41.700471303542685,4.0,
D631-7_rotmod.dat,1.5907901708330159,0.04858639757091404,29.027790639565644,4.186760578136274,603.3917287602594,14.0,
DDO064_rotmod.dat,1.655838280626333,0.13611275124600553,11.707111326430832,5.921187297308696,9.762402040678912,12.0,
DDO154_rotmod.dat,2.0,2.000000013625117e-09,66.69322383895042,3.778020641829575,13649.877979864877,10.0,
DDO161_rotmod.dat,1.9999999999999973,2.000000001184377e-09,61.88014497728898,3.824788548665326,1184.9469712217215,29.0,
DDO168_rotmod.dat,1.478959818163589,0.040490959716088196,21.57866278124686,4.437468558380348,256.114692311622,8.0,
DDO170_rotmod.dat,2.0,2.0000000002241586e-09,46.625048315264266,3.9170214347043752,224.94395013017564,6.0,
ESO079-G014_rotmod.dat,0.6846318720928706,0.015218511609667897,37.550958212756456,4.031882004944342,131.92475518001908,13.0,
ESO116-G012_rotmod.dat,1.4752744090974717,0.026651998345122174,39.41761809080457,4.003931232485302,494.73246618105105,13.0,
ESO444-G084_rotmod.dat,1.9999999999803526,2.000000000608612e-09,24.564992279534266,4.1725425225521775,609.2357449866273,5.0,
ESO563-G021_rotmod.dat,0.32555501948317356,0.009176204852751299,66.82166571502239,3.9709610103232915,1119.759554861579,28.0,
F561-1_rotmod.dat,1.1788160617143826e-13,2.0000000000047076e-09,9.999947666954409,7.071067794100268,4.727396887345195,4.0,
F563-1_rotmod.dat,1.9999999999999998,2.0000000001690986e-09,35.34882607818104,4.142816978893625,169.24287878992695,15.0,
F563-V1_rotmod.dat,0.03671605356215779,0.12516694606971926,9.660324206797203,7.5117422242615435,1.8261042406409995,4.0,
F563-V2_rotmod.dat,1.9999999999999996,2.0000000000394575e-09,20.25873866949599,4.5517594379564486,39.49597866654872,8.0,
F565-V2_rotmod.dat,1.9999999999999925,2.0000000000811234e-09,24.099787689849226,4.37023513524459,81.20131973139011,5.0,
F567-2_rotmod.dat,,,,,,,too few valid rows
F568-1_rotmod.dat,1.9999999999999998,2.0000000000739315e-09,26.423231033018293,4.270302676090396,74.03311863507416,10.0,
F568-3_rotmod.dat,1.3226658265344176,0.07710040300772462,26.497710989182956,4.298835002785549,66.19620228805634,16.0,
F568-V1_rotmod.dat,1.9999999999974707,2.0000000001078976e-09,26.725175614536138,4.281511281370223,108.05742096933407,13.0,
F571-8_rotmod.dat,0.13010906863166025,0.023479493628205433,29.310756845095575,4.428685097733884,1588.1230310531123,11.0,
F571-V1_rotmod.dat,1.9999999999999947,2.000000000030733e-09,25.680187345988877,4.283921147666989,30.76241690646476,5.0,
F574-1_rotmod.dat,2.0,2.0000000000432687e-09,26.36156616139776,3.9418913762260543,43.30353373987438,12.0,
F574-2_rotmod.dat,,,,,,,too few valid rows
F579-V1_rotmod.dat,1.7224762710670336,0.15896731886277388,11.236868803139762,3.050233479029899,16.231549675679222,12.0,
F583-1_rotmod.dat,2.0,2.0000000002068648e-09,31.06426125321368,4.135383826946429,207.16930417908029,23.0,
F583-4_rotmod.dat,1.3588574450866335,0.08461046588347508,17.239096157869973,4.780196576202397,11.750919378999226,10.0,
IC2574_rotmod.dat,1.302079536414594,0.013731691754299438,43.6386742740797,3.949569384966069,819.9894326418749,32.0,
IC4202_rotmod.dat,5.412337245047638e-16,2.0000000018482914e-09,10.624999999999979,7.071065007188482,1851.4778609512236,30.0,
KK98-251_rotmod.dat,1.1590843648961466,0.0662483393001329,13.560749573996773,5.343557254711677,12.11748180187622,13.0,
NGC0024_rotmod.dat,1.9999999999999731,2.0000000003133254e-09,38.53021351684497,4.027436097695945,313.33230660736587,27.0,
NGC0055_rotmod.dat,0.738989672762898,0.018701771667907666,34.52501598588019,4.096484234971074,254.3513878529065,19.0,
NGC0100_rotmod.dat,0.8477858788881878,0.03996970432150143,26.86298345332832,4.283330694307903,180.12677474505324,19.0,
NGC0247_rotmod.dat,1.3686366305685913,0.02007831392425587,24.733287677867967,4.004333012064095,55.118695805102206,24.0,
NGC0289_rotmod.dat,0.7456541263210574,0.017919535821047595,86.52843189032484,3.9045611134763454,984.8673254236822,26.0,
NGC0300_rotmod.dat,1.8957182801141552,0.037633232966327756,43.23348302150889,3.9720641962886183,511.64151150743015,23.0,
NGC0801_rotmod.dat,4.163336342344337e-16,2.00000000068393e-09,8.824999999999985,7.071065007187823,687.6539947147393,11.0,
NGC0891_rotmod.dat,4.163336342344337e-16,2.0000000036876015e-09,8.824999999999985,7.071065007220091,3703.4732063442293,16.0,
NGC1003_rotmod.dat,1.929434930457039,0.016747663276317364,99.99999999367301,2.0000000046590507e-09,4659.051556669566,34.0,
NGC1090_rotmod.dat,0.34952793747415234,0.007897763129879595,68.56649640600295,3.8910658754002556,1180.4015111443991,22.0,
NGC1705_rotmod.dat,1.9999999999999996,2.000000000176498e-09,22.840356353743182,4.3833216102442645,176.70718260131892,12.0,
NGC2366_rotmod.dat,1.3395488383342538,0.03063968332576541,25.494973899751635,4.267914761072896,276.1062794923989,24.0,
NGC2403_rotmod.dat,0.8707226761924718,0.0021898670164317373,99.99999997657802,2.000000044147699e-09,44147.70436124684,71.0,
NGC2683_rotmod.dat,5.412337245047638e-16,2.0000000001374705e-09,10.624999999999979,7.071067519334107,137.7890306361358,9.0,
NGC2841_rotmod.dat,1.08105337900292,0.007958049555098866,99.99999999802992,2.000000007814035e-09,7814.0514759423395,48.0,
NGC2903_rotmod.dat,5.134781488891349e-16,2.0000000076272233e-09,10.22499999999998,7.0711052018522915,7661.351429398177,32.0,
NGC2915_rotmod.dat,2.0,2.000000000699587e-09,35.533373449635775,4.072606249408402,700.0059381829092,28.0,
NGC2955_rotmod.dat,4.163336342344337e-16,2.00000000137529e-09,8.824999999999985,7.071065007190457,1387.1520189206142,22.0,
